

========================================
Importieren gestartet am: 2026-02-14 18:21:31
========================================

OK: Patient 'Überstundenabbau Kita zu' importiert
OK: Patient 'Idel, Norbert' importiert
OK: Patient 'Fischer-Wolter, Hanna Dorothea' importiert
OK: Patient 'Gräbenstein, Bernd KGG' importiert
OK: Patient 'Crisci, Dejan ' importiert
OK: Patient 'Überstd. Abbau :)' importiert
OK: Patient 'Dross, Dagmar' importiert
OK: Patient 'Sohn, Sonja' importiert
OK: Patient 'Baumann, Sabine' importiert
OK: Patient 'Simon, Sarah' importiert
OK: Patient 'nix davor 10 min. später' importiert
OK: Patient 'Krell, Martina' importiert
OK: Patient 'Krakau, Gabi' importiert
OK: Patient 'Zielke, Wolfgang' importiert
OK: Patient 'Fuchs, Elke HB' importiert
OK: Patient 'Dr. Schüttenhelm, Wolfgang, KGG' importiert
OK: Patient 'Galler, Bernhard BPW' importiert
OK: Patient 'Fuchs, Roland ' importiert
OK: Patient 'Wirsum, Thomas' importiert
OK: Patient 'Lindner, Fredy/Renate' importiert
OK: Patient 'Neuwert; Valentina' importiert
OK: Patient 'Ney, Michaela' importiert
OK: Patient 'Fischer , Manuel' importiert
OK: Patient 'Fußbroich , Paul' importiert
OK: Patient 'Laegner, Marcus' importiert
OK: Patient 'Böttcher, Marc' importiert
OK: Patient 'Lünenbürger, Franka' importiert
OK: Patient 'Seebach, Joyce' importiert
OK: Patient 'Lange, Karin' importiert
OK: Patient 'Wachsmann , Nadine' importiert
OK: Patient 'Smirnow, Katharina' importiert
OK: Patient 'Stiebeling, Reiner' importiert
OK: Patient 'Tietz , Iris' importiert
OK: Patient 'Terrano, Angiolina' importiert
OK: Patient 'Völkerath, Beate' importiert
OK: Patient 'Alefelder, Lena' importiert
OK: Patient 'Laschet, Kerstin' importiert
OK: Patient 'Fußbroich , Paul BPW' importiert
OK: Patient 'Fröhlich, Annegret' importiert
OK: Patient 'Kaiser, Beate ' importiert
OK: Patient 'lernen Orazio' importiert
OK: Patient 'Magnago, Martin ' importiert
OK: Patient 'Knabe , Brigitte ' importiert
OK: Patient 'Fahrt von BWO' importiert
OK: Patient 'Visarius, Jürgen' importiert
OK: Patient 'Rabeck, Kilian (BPW)' importiert
OK: Patient 'Stöber, Walter' importiert
OK: Patient 'Kahnert, Dietrich' importiert
OK: Patient 'Wienböker, Axel ' importiert
OK: Patient 'Hurtig, Paul URLAUB' importiert
OK: Patient 'Zimmerann,Stephanie' importiert
